;[N/mm²];GL 20h;GL 20c;GL 22h;GL 22c;GL 24h;GL 24c;GL 26h;GL 26c;GL 28h;GL 28c;GL 30h;GL 30c;GL 32h;GL 32c
Biegefestigkeit ;fm,g,k;20;20;22;22;24;24;26;26;28;28;30;30;32;32
Zugfestigkeit ;ft,0,g,k;16;15;17,6;16;19,2;17;20,8;19;22,3;19,5;24;19,5;25,6;19,5
Querzugfestigkeit;ft,90,g,k;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
Druckfestigkeit;fc,0,g,k;20;18,5;22;20;24;21,5;26;23,5;28;24;30;24,5;32;24,5
Querdruckfestigkeit;fc,90,g,k;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5
Schubfestigkeit (Schub und Torsion);fv,g,k;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5
Rollschubfestigkeit ;fr,g,k;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2
E-Modul, mean;E0,g,mean;8400;10400;10500;10400;11500;11000;12100;12000;12600;12500;13600;13000;14200;13500
E-Modul, 5%;E0,f,05;7000;8600;8800;8600;9600;9100;10100;10000;10500;10400;11300;10800;11800;11200
E_90-Modul, mean;E90,g,mean;300;300;300;300;300;300;300;300;300;300;300;300;300;300
E_90-Modul, 5%;E90,g,05;250;250;250;250;250;250;250;250;250;250;250;250;250;250
Schubmodul, mean;Gg,mean;650;650;650;650;650;650;650;650;650;650;650;650;650;650
Schubmodul, 5%;Gg,05;540;540;540;540;540;540;540;540;540;540;540;540;540;540
Rollschubmodul, mean;Gr,g,mean;65;65;65;65;65;65;65;65;65;65;65;65;650;650
Rollschubmodul, 5%;Gr,g,05;54;54;54;54;54;54;54;54;54;54;54;54;54;54
Rohdichte;ρg,k;340;355;370;355;385;365;405;385;425;390;430;390;440;400
Rohdichte, mean;ρg,mean;370;390;410;390;420;400;445;420;460;420;480;430;490;440
